BBL,Address,Building_Name,Owner,Wikipedia_Link
1012880007,10 E 53rd St,,,https://en.wikipedia.org/wiki/10_East_53rd_Street
1012890021,515 Madison Ave Ave Ave,DuMont Building,,https://en.wikipedia.org/wiki/DuMont_Building
1012890052,"527 Madison Ave, New York, NY 10022",,,https://en.wikipedia.org/wiki/527_Madison_Avenue
1012900037,"410 Park Ave, New York, NY 10022",,,https://en.wikipedia.org/wiki/410_Park_Avenue
1012910010,550 Madison Ave,,Olayan Group,https://en.wikipedia.org/wiki/550_Madison_Avenue
1012910028,65 E 55th St,Park Avenue Tower,,https://en.wikipedia.org/wiki/Park_Avenue_Tower
1012910038,"430 Park Ave, New York, NY 10022",,Komohil,https://en.wikipedia.org/wiki/430_Park_Avenue
1012920037,450 Park Ave,,SL Green Realty,https://en.wikipedia.org/wiki/450_Park_Avenue
1012920052,"575 Madison Ave, New York, NY 10022",,,https://en.wikipedia.org/wiki/575_Madison_Avenue
1012930059,"600 Madison Ave, New York, NY 10022",,Ruben Companies,https://en.wikipedia.org/wiki/600_Madison_Avenue
1012940037,"500 Park Ave, New York, NY 10022",,SL Green Realty,https://en.wikipedia.org/wiki/500_Park_Avenue
1012940046,625 Madison Ave,,,https://en.wikipedia.org/wiki/625_Madison_Avenue
1012950023,"355 Lexington Ave, New York, NY 10017",,,https://en.wikipedia.org/wiki/355_Lexington_Avenue
1012960001,"125 Park Ave, New York, NY 10168",,SL Green Realty,https://en.wikipedia.org/wiki/125_Park_Avenue
1013010001,245 Park Ave,,SL Green Realty,https://en.wikipedia.org/wiki/245_Park_Avenue
1013010023,485 Lexington Ave,,,https://en.wikipedia.org/wiki/485_Lexington_Avenue
1013030001,299 Park Ave,,Fisher Brothers,https://en.wikipedia.org/wiki/299_Park_Avenue
1013050013,"560 Lexington Ave, New York, NY 10022",,Rudin,https://en.wikipedia.org/wiki/560_Lexington_Avenue
1013060001,345 Park Ave,,Rudin Management,https://en.wikipedia.org/wiki/345_Park_Avenue
1013070001,375 Park Ave,Seagram Building,RFR Realty,https://en.wikipedia.org/wiki/Seagram_Building
1013070014,"600 Lexington Ave, New York, NY 10022",,,https://en.wikipedia.org/wiki/600_Lexington_Avenue
1013120015,"135 E 57th St, New York, NY 10022",,,https://en.wikipedia.org/wiki/135_East_57th_Street
1013120041,150 E 58th St,,,https://en.wikipedia.org/wiki/150_East_58th_Street
1013740014,"650 Madison Ave, New York, NY 10022",,,https://en.wikipedia.org/wiki/650_Madison_Avenue
1013940001,"505 Park Ave, New York, NY 10022",,,https://en.wikipedia.org/wiki/505_Park_Avenue
1013940013,"750 Lexington Ave, New York, NY 10022",,,https://en.wikipedia.org/wiki/750_Lexington_Avenue
1018840001,"2880 Broadway, New York, NY 10025",,,https://en.wikipedia.org/wiki/2880_Broadway
1019860065,"3280 Broadway, New York, NY 10027",,,https://en.wikipedia.org/wiki/3280_Broadway
1008360007,"43 W 34th St, New York, NY 10001",,GFP Real Estate,https://en.wikipedia.org/wiki/43_West_34th_Street
1008360033,"1 W 34th St, New York, NY 10001",,BLDG Management Co.,https://en.wikipedia.org/wiki/1_West_34th_Street
1012840056,"424 Madison Ave, New York, NY 10017",,BLDG Management Co.,https://en.wikipedia.org/wiki/424_Madison_Avenue
1008120016,"141 W 36th St, New York, NY 10018",,Tishman Speyer,https://en.wikipedia.org/wiki/141_West_36th_Street
1005770019,"34 W 14th St, New York, NY 10011",,New School,https://en.wikipedia.org/wiki/University_Center_(New_School)
