bbl,address,percentage,savings,hvac_cost
1012670041,650 5 Ave,33.94448156984212,165788.68000000002,488411.28906000004
1008290011,45 W 27th St,33.93497804743555,19480.35,57404.92884
1000920024,116 Nassau St,33.927557292344815,16595.56,48914.69155
1008610022,135 Madison Ave,33.91812316819404,37571.56999999999,110771.37085
1000490002,111 Broadway,33.88920767183941,207824.1900000001,613245.93957
1012910028,65 E 55th St,33.86854973139589,211770.89999999997,625273.0089700002
1000200016,55 Broadway,33.85278191609487,147137.44,434639.1394500001
1008020056,122 W 27th St,33.83565235243939,8327.969999999998,24613.00262
1010130029,592 7 Ave,33.79595188446783,265852.63,786640.45596
1008550037,35 Madison Ave,33.72398303909739,383559.75000000006,1137350.08571
1012780069,529 5 Ave,33.70181796929406,77354.39,229525.86733000004
1007950037,635 Ave Of The Americas,33.68384472905826,30965.99,91931.28115
1000100014,33 Whitehall St,33.67081349083417,124358.26,369335.47813999996
1008050003,345 7 Ave,33.645724131020735,25319.629999999997,75253.63372
1008020008,151 W 26th St,33.629461297818736,26354.430000000008,78367.0894
1013190047,733 3 Ave,33.595397322717105,289070.80999999994,860447.65961
1000200009,45 Broadway,33.56939630975769,133725.71,398356.01678999997
1008560009,11 E 26th St,33.540070271701175,56480.09,168395.86066
1013740060,10 E 60th St,33.53750550391681,131520.97,392160.85998
1013090023,641 Lexington Ave,33.51419171433286,218200.65999999997,651069.4390600001
1013170001,685 3 Ave,33.4710502303677,261558.15,781445.90086
1009990029,1185 Ave Of The Americas,33.46077967429232,364962.5399999999,1090717.38182
1013210022,885 2 Ave,33.365353528393,272246.16000000003,815954.6691699999
1010070029,1345 Ave Of The Americas,33.34108581709479,988577.73,2965043.59643
1013050013,560 Lexington Ave,33.310021338951884,104408.5,313444.71064000006
1012790057,352 Madison Ave,33.29788264457737,124618.56,374253.70655000006
1008070001,393 7 Ave,33.29114442304919,350544.21,1052965.3338000001
1005810063,225 Varick St,33.22574076968022,75072.58,225947.04665999996
1013280001,909 3 Ave,33.218343899052414,316175.85000000003,951810.99624
1008680008,5 E 38th St,33.206729809082184,15458.46,46552.19014
1000130027,25 Broadway,33.181416278423875,387528.15,1167907.2006700002
1009970041,120 W 45th St,33.16925990827084,144712.03000000006,436283.56616999995
1010260032,848 7 Ave,33.16679251663003,7723.780000000001,23287.69053
1000390012,110 Maiden Lane,33.13570449205343,567558.8999999999,1712831.8492100004
1013010001,245 Park Ave,33.09905778600758,782678.0199999998,2364653.47461
1008210014,39 W 19th St,33.091366906566414,35246.490000000005,106512.64452
1001680032,75 Centre St,33.08463146903109,269441.37,814400.3969100001
1008190037,118 5 Ave,33.068420811179635,15923.430000000006,48152.97981999999
1012750023,285 Madison Ave,33.06093755843173,238428.98,721180.33428
1008380012,53 W 36th St,33.05110196622961,18654.67,56441.90024
1010080037,106 W 56th St,33.05062158044102,13623.62,41220.4653
1000130005,11 Broadway,33.016624014731605,238112.74,721190.4520999999
1009950005,1472 Broadway,33.000239010336266,554335.36,1679791.9549199997
1013290001,919 3 Ave,32.996424976974595,538436.1,1631801.32507
1013160001,675 3 Ave,32.98192878270079,301014.13,912663.81655
1000210001,61 Broadway,32.94648657311689,264263.39999999997,802098.8806000001
1008690034,90 Park Ave,32.945121142030146,484477.4599999999,1470559.04852
1008680025,261 Madison Ave,32.94391057446263,255295.84000000003,774940.9088000001
1001210001,1 Centre St,32.91646378713229,510201.81,1549989.73553
1000100023,1 Whitehall St,32.91327650430995,233410.18,709167.2564699999
1013260001,875 3 Ave,32.904802944610864,228695.14,695020.5427
1010270020,1740 Broadway,32.903375870735374,256444.4,779386.28853
1000670001,59 Maiden Lane,32.90139857105756,598215.91,1818208.1491399999
1012990022,437 Lexington Ave,32.891777993653065,89235.57,271300.53601000004
1012920037,450 Park Ave,32.88760826349285,281268.17,855240.57495
1009960029,1133 Ave Of The Americas,32.87688366274732,187043.72000000003,568921.6834499999
1012690001,1330 Ave Of The Americas,32.87055682502556,205257.82,624442.78353
1000400014,48 Wall St,32.8518924656738,122445.22,372718.92366
1000250001,55 Broad St,32.813498588251754,301393.29999999993,918504.0089199999
1010090005,152 W 57th St,32.80801380646849,223833.1,682251.2978699999
1007860023,229 W 36th St,32.80407832855862,21050.500000000007,64170.37475999999
1013070014,600 Lexington Ave,32.80075492942203,106878.50000000004,325841.58575
1000880018,225 Broadway,32.79486065761254,78142.15999999999,238275.62743999998
1013090032,900 3 Ave,32.79423258308387,150255.21000000002,458175.71617
1013030001,299 Park Ave,32.77048905490545,346427.51999999996,1057132.59091
1010030005,135 W 50th St,32.75653425241723,275977.21,842510.40685
1013250001,845 3 Ave,32.73626573190228,209070.37,638650.6381399999
1008330038,302 5 Ave,32.73272008088872,12390.23,37852.73564
1008150046,1430 Broadway,32.730423866047936,284350.54000000004,868765.22334
1005990064,375 Hudson St,32.72971985075758,214996.89,656885.8242000001
1012880007,10 E 53rd St,32.72246805915978,287896.22,879812.05904
1001530024,23 Chambers St,32.707966503886496,117027.71000000002,357795.73758
1008680016,260 Madison Ave,32.70679374040295,304108.69000000006,929802.8183800001
1008790081,315 Park Ave South,32.70193798825326,62210.44999999998,190234.75006999998
1000090029,24 State St,32.69915405742366,485548.29,1484895.5699200002
1009970029,1155 Ave Of The Americas,32.69052542783919,205797.03,629531.1173699999
1009980024,115 W 45th St,32.678731563973976,11962.350000000002,36605.91898
1013000033,730 3 Ave,32.674781277886126,317776.18000000005,972542.63861
1008430045,79 5 Ave,32.668937099420695,88922.95,272194.19392
1000660001,19 Liberty St,32.66213144614444,630894.7000000002,1931578.4734999996
1013070001,375 Park Ave,32.652077122942146,500726.5199999999,1533521.1849300002
1012940046,625 Madison Ave,32.651048601746616,287490.49,880493.8962500001
1007890052,218 W 40th St,32.64547206442012,43289.3,132604.30088
1010040020,787 7 Ave,32.637212404485226,724952.67,2221245.67814
1013120041,150 E 58th St,32.622253354359394,292366.81,896218.93014
1012870014,488 MADISON AVENUE,32.59683391413009,123011.22,377371.68071000004
1000210004,65 Broadway,32.55928442540007,288824.35000000003,887072.1672700001
1000240001,60 Broad St,32.53452041831126,458070.29,1407951.56686
1012670001,1290 Ave Of The Americas,32.53216085074804,1090509.21,3352095.8383400002
1010160036,1515 Broadway,32.50749682567191,651112.0099999999,2002959.54343
1012810069,553 5 Ave,32.4665025575057,62302.77000000001,191898.61886
1012770014,330 Madison Ave,32.455414964073256,304605.45999999996,938535.09603
1012880001,655 5 Ave,32.42084090219283,42245.01,130302.01815999999
1013120015,135 E 57th St,32.398428916047884,123478.58,381125.20925
1007790041,352 7 Ave,32.39572702294139,33691.310000000005,103999.24032000003
1008370058,20 W 36th St,32.366644062996194,20620.710000000003,63709.756130000016
